Phase(pi),In1_Out6_Raw,In1_Out6_Norm,In1_Out7_Raw,In1_Out7_Norm
0.0,39.930349899999996,0.5725558685635633,29.8101804,0.42744413143643684
0.05,39.6593277,0.5716823174681546,29.7136903,0.42831768253184543
0.1,39.730272,0.5721315929310232,29.7122697,0.4278684070689769
0.15000000000000002,39.839538700000006,0.5721151136164555,29.795990500000002,0.42788488638354455
0.2,39.8664997,0.5712683514791705,29.9194417,0.42873164852082946
0.25,40.0211648,0.5705264905003419,30.1266118,0.4294735094996582
0.30000000000000004,40.009814299999995,0.5700994283238396,30.170600399999998,0.4299005716761602
0.35000000000000003,40.0282588,0.5705468412093884,30.1294494,0.42945315879061163
0.4,40.0523859,0.5700835822982953,30.2046556,0.42991641770170463
0.45,40.1616453,0.5701877060393964,30.2741864,0.42981229396060355
0.5,40.615716,0.5753592974370746,29.976201399999997,0.4246407025629254
0.55,40.5036226,0.5749154345581399,29.9478215,0.4250845654418601
0.6000000000000001,40.4326711,0.5747302534355593,29.918021000000003,0.4252697465644407
0.65,40.40571,0.5746367718730907,29.9095082,0.42536322812690924
0.7000000000000001,40.333339699999996,0.5748720758632276,29.827208,0.4251279241367724
0.75,40.330505699999996,0.5750409990322508,29.8045034,0.4249590009677493
0.8,40.3872618,0.574919713367533,29.8612631,0.4250802866324671
0.8500000000000001,40.3801678,0.5751323894993318,29.830045600000002,0.4248676105006683
0.9,40.392940700000004,0.5750237661203327,29.8527484,0.4249762338796673
0.9500000000000001,40.3092199,0.5752729067707929,29.7605147,0.4247270932292071
1.0,40.312057499999995,0.5755814915021972,29.7250408,0.4244185084978028
